Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Friendship, fiction,Future life, fiction"
"Ortiz, Simon J.",The People Shall Continue,Banned in Classrooms,,"Graves, Sharol",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"History,Indians of North America,Indians of north america, history,Indians of north america, juvenile literature,Juvenile literature"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned from Classrooms,,,,South Dakota,Sioux Valley School District,February 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned from Libraries and Classrooms,,,,Florida,Lake County Schools,Fall 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,Idaho,Kuna School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned from Libraries and Classrooms,,,,Michigan,Davison Community Schools,August 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned from Libraries,,,,North Carolina,Catawba County Schools,May 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,,,North Carolina,Pender County Schools,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"813/.54,Adolescence--juvenile fiction,Adolescents,American fiction,Bildungsroman,Bildungsromans,Children's fiction,Conditions sociales,Diaries, fiction,Diary novels,Emotions, fiction,Epistolary fiction,Epistolary novels,Fiction,Friendship, fiction,High school students--juvenile fiction,High school students--social conditions,High school students--social conditions--fiction,High school students--social conditions--juvenile fiction,Juvenile fiction,Juvenile works,Letters, fiction,Letters--juvenile fiction,Lettres (Genre littéraire),Loss (Psychology),New York Times bestseller,Ps3553.h3469 p47 1999,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman pour jeunes adultes,Romans, nouvelles,Schools, fiction,Teenagers--juvenile fiction,Translations into Vietnamese,Young adult fiction,Young adult works,Youth, fiction,abuse,adolescence,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,coming of age,coming-of-age,diary fiction,drug use,fiction classics,friendship,high school students,infinite,introversion,letters,literary fiction,mental health,music,nyt:paperback-books=2012-06-24,repression,sexuality,social conditions,teenagers,Élèves du secondaire"
