Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Eugenides, Jeffrey",Middlesex,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Adolescentes,American fiction, history and criticism, 21st century,Américains d'origine grecque,Bildungsromans,City and town life,Detroit (mich.), fiction,Disorders of Sex Development,Domestic fiction,Einwanderer,Fiction,Fiction, coming of age,Fiction, family life,Fiction, family life, general,Fiction, general,Fictional Works [Publication Type],Gender identity,Geschlechtsumwandlung,Greek Americans,Greek World,Greek americans, fiction,Griechische Familie,Group reading,Hermaphrodites,Hermaphroditism,Identitätsfindung,Intersexuality,LGBTQ gender identity,LGBTQ novels,Large type books,Modern Literature,Mutation (Biology),Romans, nouvelles,Stonewall Book Awards,Suburban life,Teenage girls,Teenagers,Transgender Persons,Zwitter,open_syllabus_project",Adolescentes,American fiction, history and criticism, 21st century,Américains d'origine grecque,"Bildungsromans,City and town life,Detroit (mich.), fiction,Disorders of Sex Development,Domestic fiction,Einwanderer,Fiction, coming of age, family life, general,Fictional Works [Publication Type],Gender identity,Geschlechtsumwandlung,Greek Americans,Greek World,Greek americans,Griechische Familie,Group reading,Hermaphrodites,Hermaphroditism,Identitätsfindung,Intersexuality,LGBTQ gender identity,LGBTQ novels,Large type books,Modern Literature,Mutation (Biology),Romans, nouvelles,Stonewall Book Awards,Suburban life,Teenage girls,Teenagers,Transgender Persons,Zwitter,open_syllabus_project","[31.9686, -99.9018]"
"Eugenides, Jeffrey",Middlesex,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,May 2023,Formal Challenge,"Adolescentes,American fiction, history and criticism, 21st century,Américains d'origine grecque,Bildungsromans,City and town life,Detroit (mich.), fiction,Disorders of Sex Development,Domestic fiction,Einwanderer,Fiction,Fiction, coming of age,Fiction, family life,Fiction, family life, general,Fiction, general,Fictional Works [Publication Type],Gender identity,Geschlechtsumwandlung,Greek Americans,Greek World,Greek americans, fiction,Griechische Familie,Group reading,Hermaphrodites,Hermaphroditism,Identitätsfindung,Intersexuality,LGBTQ gender identity,LGBTQ novels,Large type books,Modern Literature,Mutation (Biology),Romans, nouvelles,Stonewall Book Awards,Suburban life,Teenage girls,Teenagers,Transgender Persons,Zwitter,open_syllabus_project",Adolescentes,American fiction, history and criticism, 21st century,Américains d'origine grecque,"Bildungsromans,City and town life,Detroit (mich.), fiction,Disorders of Sex Development,Domestic fiction,Einwanderer,Fiction, coming of age, family life, general,Fictional Works [Publication Type],Gender identity,Geschlechtsumwandlung,Greek Americans,Greek World,Greek americans,Griechische Familie,Group reading,Hermaphrodites,Hermaphroditism,Identitätsfindung,Intersexuality,LGBTQ gender identity,LGBTQ novels,Large type books,Modern Literature,Mutation (Biology),Romans, nouvelles,Stonewall Book Awards,Suburban life,Teenage girls,Teenagers,Transgender Persons,Zwitter,open_syllabus_project","[27.9944, -81.7603]"
"Mead, Richelle",Midnight Jewel,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Arranged marriage,Children's fiction,Fiction,Love, fiction,New York Times bestseller,Nobility,Refugees,Social classes,Supernatural, fiction,nyt:young-adult-hardcover=2017-07-16",Arranged marriage,Children's fiction,Fiction,Love, fiction,"New York Times bestseller,Nobility,Refugees,Social classes,Supernatural,nyt:young-adult-hardcover=2017-07-16","[27.9944, -81.7603]"
"Hatke, Ben",Mighty Jack and the Goblin King,Banned from Libraries,,,,Florida,Martin County Schools,September 2022,Formal Challenge,"Adventure and adventurers, fiction,Brothers and sisters,Brothers and sisters -- Comic books, strips, etc,Children's fiction,Comic books, strips,Comic books, strips, etc. -- United States,Dragons, fiction,Fantasy,Fantasy fiction,Graphic novels,Jack, the Giant Killer (Fairy tale character) -- Comic books, strips, etc,Juvenile fiction,Magic,Magic -- Comic books, strips, etc,Monsters,Monsters -- Comic books, strips, etc,Young adult fiction",Adventure and adventurers, fiction,Brothers and sisters,Brothers and sisters -- Comic books, strips," etc,Children's fiction,Comic books, etc. -- United States,Dragons,Fantasy,Fantasy fiction,Graphic novels,Jack, the Giant Killer (Fairy tale character) -- Comic books,Juvenile fiction,Magic,Magic -- Comic books,Monsters,Monsters -- Comic books,Young adult fiction","[27.9944, -81.7603]"
"Rutledge, A. B.",Miles Away from You,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Americans,Bisexuality,Children's fiction,Coma,Conformity,Fiction,Homosexuality, fiction,Lesbian mothers,Love,Love, fiction,Suicide,Suicide, fiction,Transgender people",Americans,Bisexuality,Children's fiction,Coma,Conformity,"Fiction,Homosexuality, fiction,Lesbian mothers,Love,Suicide,Transgender people","[31.9686, -99.9018]"
"Rutledge, A. B.",Miles Away from You,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"Americans,Bisexuality,Children's fiction,Coma,Conformity,Fiction,Homosexuality, fiction,Lesbian mothers,Love,Love, fiction,Suicide,Suicide, fiction,Transgender people",Americans,Bisexuality,Children's fiction,Coma,Conformity,"Fiction,Homosexuality, fiction,Lesbian mothers,Love,Suicide,Transgender people","[31.9686, -99.9018]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,July 2022,Informal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[39.32, -111.0937]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[31.9686, -99.9018]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[31.9686, -99.9018]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Utah,Davis School District,January 2023,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[39.32, -111.0937]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Texas,Belton Independent School District,August 2022,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[31.9686, -99.9018]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[33.8361, -81.1637]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Utah,Granite School District,October 2022,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[39.32, -111.0937]"
"Kaur, Rupi",Milk and Honey,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[27.9944, -81.7603]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[27.9944, -81.7603]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Wisconsin,School District of Somerset,February 2023,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[44.5, -89.5]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Oregon,Canby Public School District,October 2022,Formal Challenge,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[43.8041, -120.5542]"
"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,"American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01",American poetry,Amerikanisches Englisch,BODY, MIND & SPIRIT,Canadian poetry,"FICTION,FICTION / Romance,General,Kvinnor,Literature,Lyrik,New York Times bestseller,Poetry,Poetry (poetic works by one author),Romance,Survival,Survival skills,Women,banned books,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:trade-fiction-paperback=2016-05-01","[38.3566, -92.458]"
